"Memory_Bandwidth","Memory_Speed","L2_Cache","Memory_Bus","Shader","Dedicated","Manufacturer"
144,1125,1024,128,"5","Yes","AMD"
72,1125,512,128,"5","Yes","AMD"
72,1125,512,128,"5","Yes","AMD"
28.8,900,512,128,"5","Yes","AMD"
73.6,1150,512,128,"5","Yes","AMD"
20.8,650,512,128,"5","Yes","AMD"
28.8,900,512,128,"5","Yes","AMD"
25.6,800,512,128,"5","Yes","AMD"
134.4,1050,512,256,"5","Yes","AMD"
28.8,900,512,128,"5","Yes","AMD"
28.8,900,0,128,"5","Yes","AMD"
64,1000,0,128,"5","Yes","AMD"
73.6,1150,512,128,"5","Yes","AMD"
72,1125,512,128,"5","Yes","AMD"
25.6,800,256,128,"5","Yes","AMD"
51.2,800,256,128,"5","Yes","AMD"
64,1000,256,128,"5","Yes","AMD"
25.6,800,256,128,"5","Yes","AMD"
28.8,900,256,128,"5","Yes","AMD"
28.8,900,128,64,"5","Yes","AMD"
12.8,800,0,64,"5","Yes","AMD"
12.8,800,128,64,"5","Yes","AMD"
12.8,800,0,64,"5","No","AMD"
8.5,533,128,64,"5","Yes","AMD"
179.2,1400,512,256,"5","Yes","AMD"
153.6,1200,512,256,"5","Yes","AMD"
96,1500,512,128,"5","Yes","AMD"
264,1375,768,384,"5","Yes","AMD"
240,1250,768,384,"5","Yes","AMD"
72,1125,512,128,"5","Yes","AMD"
72,1125,512,128,"5","Yes","AMD"
73.6,1150,512,128,"5","Yes","AMD"
8.5,533,128,64,"5","Yes","AMD"
28.8,900,128,64,"5","Yes","AMD"
12.8,800,128,64,"5","Yes","AMD"
28.8,900,512,128,"5","Yes","AMD"
11.2,350,0,256,"3","Yes","Nvidia"
35.2,550,0,256,"3","Yes","Nvidia"
15.2,475,0,256,"2","Yes","Nvidia"
5.1,320,0,128,"1.3","Yes","Nvidia"
11.2,350,0,256,"2","Yes","Nvidia"
11.2,350,0,256,"3","Yes","Nvidia"
13.2,825,128,64,"5","Yes","Nvidia"
4.4,275,0,128,"1.3","Yes","Nvidia"
327.9,854,768,384,"5","Yes","Nvidia"
225.8,1008,0,448,"4","Yes","Nvidia"
354.8,924,1536,384,"5","Yes","Nvidia"
4,250,0,128,"1.1","Yes","Nvidia"
16.3,510,0,128,"4.1","Yes","Nvidia"
235.9,1053,0,448,"4","Yes","Nvidia"
54.4,850,0,128,"4.1","Yes","Nvidia"
769,1502,2048,512,"5","Yes","Nvidia"
6.4,400,0,64,"4.1","Yes","Nvidia"
12.6,790,0,64,"4.1","Yes","Nvidia"
25.3,790,0,128,"4.1","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
384,1500,1024,256,"5","Yes","Nvidia"
384.5,1502,1024,512,"5","Yes","Nvidia"
225.5,1762,2048,256,"5","Yes","Nvidia"
211.5,1652,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
769,1502,2048,256,"5","Yes","Nvidia"
384.5,1502,1024,512,"5","Yes","Nvidia"
201.6,1575,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
201.6,1575,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
384.5,1502,0,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
493.5,1402,3072,176,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
345.6,1350,2048,256,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
223.8,999,0,448,"4","Yes","Nvidia"
484.4,1376,3072,176,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
489.3,1390,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
502,1426,3072,352,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
502,1426,3072,88,"5","Yes","Nvidia"
502,1426,3072,352,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,352,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
502,1426,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,176,"5","Yes","Nvidia"
484.4,1376,3072,176,"5","Yes","Nvidia"
494.2,1404,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,352,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,352,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,352,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,352,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
484.4,1376,3072,352,"5","Yes","Nvidia"
488.6,1388,3072,352,"5","Yes","Nvidia"
488.6,1388,3072,352,"5","Yes","Nvidia"
484.4,1376,3072,352,"5","Yes","Nvidia"
484.4,1376,3072,352,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
640.5,1251,4096,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
320,1250,2048,256,"5","Yes","Nvidia"
323.3,1263,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
484.4,1376,3072,88,"5","Yes","Nvidia"
323.3,1263,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
320,1250,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
484.4,1376,3072,352,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
272,2125,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,128,"5","Yes","Nvidia"
259.5,2027,2048,256,"5","Yes","Nvidia"
272,2125,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
262.7,2052,2048,256,"5","Yes","Nvidia"
320.3,1251,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
259.5,2027,2048,256,"5","Yes","Nvidia"
272.3,2127,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
272.3,2127,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,128,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
256.3,2002,2048,256,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
194.6,2027,2048,192,"5","Yes","Nvidia"
194.6,2027,2048,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
197,2052,0,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
272.3,2127,2048,256,"5","Yes","Nvidia"
197,2052,2048,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
194.6,2027,2048,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
192.2,2002,2048,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
192.2,2002,0,192,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
32,1000,0,64,"5","Yes","Nvidia"
112.1,1752,1024,128,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
198.4,1550,512,256,"5","Yes","Nvidia"
201.6,1575,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
198.7,1552,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
198.7,1552,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
198.7,1552,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
211.5,1652,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
384.5,1502,1024,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
195.5,1527,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
195.5,1527,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
198.7,1552,512,256,"5","Yes","Nvidia"
198.7,1552,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
397.3,1552,1024,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
384.5,1502,1024,512,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
158.6,1652,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
288.4,1502,768,192,"5","Yes","Nvidia"
192.3,1502,512,256,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
158.6,1652,384,192,"5","Yes","Nvidia"
158.6,1652,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
288.4,1502,768,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
288.4,1502,512,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
146.6,1527,384,192,"5","Yes","Nvidia"
288.4,1502,768,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
146.6,1527,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
146.4,1525,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
432.6,1502,1152,192,"5","Yes","Nvidia"
146.6,1527,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
163.4,1702,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
288.4,1502,768,192,"5","Yes","Nvidia"
146.6,1527,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
288.4,1502,768,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
288.4,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
146.6,1527,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
134.4,1400,384,192,"5","Yes","Nvidia"
134.4,1400,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
89.6,1400,256,128,"5","Yes","Nvidia"
99.2,1550,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
88,1375,256,128,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
88,1375,256,128,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
120.3,1253,384,192,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
146.6,1527,384,192,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
120.3,1253,384,192,"5","Yes","Nvidia"
122.5,1276,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
288.4,1502,768,192,"5","Yes","Nvidia"
86.4,1350,256,128,"5","Yes","Nvidia"
144.2,1502,384,192,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
81.6,1275,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
80,1250,256,128,"5","Yes","Nvidia"
28.5,891,256,128,"5","Yes","Nvidia"
40.1,1252,128,64,"5","Yes","Nvidia"
40.1,1252,128,64,"5","Yes","Nvidia"
40.1,1252,128,64,"5","Yes","Nvidia"
40,1250,256,64,"5","Yes","Nvidia"
25.9,810,256,128,"5","Yes","Nvidia"
40.1,1252,128,64,"5","Yes","Nvidia"
25.6,800,256,128,"5","Yes","Nvidia"
64,1000,384,128,"5","Yes","Nvidia"
28.8,900,256,128,"5","Yes","Nvidia"
28.5,891,256,128,"5","Yes","Nvidia"
21.3,667,256,128,"5","Yes","Nvidia"
28.5,891,256,128,"5","Yes","Nvidia"
28.5,891,256,128,"5","Yes","Nvidia"
21.3,667,256,128,"5","Yes","Nvidia"
12.8,800,128,64,"5","Yes","Nvidia"
16,1001,128,64,"5","Yes","Nvidia"
29,905,256,128,"5","Yes","Nvidia"
51.2,800,256,128,"5","Yes","Nvidia"
14.4,900,128,64,"5","Yes","Nvidia"
21.3,667,256,128,"5","Yes","Nvidia"
22.4,700,256,128,"5","Yes","Nvidia"
32,1000,256,128,"5","Yes","Nvidia"
25.6,800,256,128,"5","Yes","Nvidia"
14.4,900,128,64,"5","Yes","Nvidia"
17.1,533,256,128,"5","Yes","Nvidia"
25.6,800,256,128,"5","Yes","Nvidia"
17.1,535,256,128,"5","Yes","Nvidia"
8.5,533,128,64,"5","Yes","Nvidia"
8,500,128,64,"5","Yes","Nvidia"
14.4,898,128,64,"5","Yes","Nvidia"
8.6,535,128,64,"5","Yes","Nvidia"
28.8,900,256,128,"5","Yes","Nvidia"
8,500,128,64,"5","Yes","Nvidia"
8.5,533,128,64,"5","Yes","Nvidia"
8.6,535,128,64,"5","Yes","Nvidia"
14.4,900,128,64,"5","Yes","Nvidia"
10.7,667,128,64,"5","Yes","Nvidia"
9.6,600,128,64,"5","Yes","Nvidia"
8,500,128,64,"5","Yes","Nvidia"
14.4,898,128,64,"5","Yes","Nvidia"
14.4,900,128,64,"5","Yes","Nvidia"
14.4,898,128,64,"5","Yes","Nvidia"
3.2,200,0,128,"1.1","Yes","Nvidia"
318,1242,0,512,"4","Yes","Nvidia"
223.8,999,0,448,"4","Yes","Nvidia"
159,1242,0,512,"4","Yes","Nvidia"
127,1134,0,448,"4","Yes","Nvidia"
281.6,1100,0,512,"4","Yes","Nvidia"
141.7,1107,0,512,"4","Yes","Nvidia"
254,1134,0,448,"4","Yes","Nvidia"
3.7,230,0,128,"1.1","Yes","Nvidia"
117.6,1050,0,448,"4","Yes","Nvidia"
123.2,1100,0,448,"4","Yes","Nvidia"
112.9,1008,0,448,"4","Yes","Nvidia"
123.2,1100,0,448,"4","Yes","Nvidia"
117.6,1050,0,448,"4","Yes","Nvidia"
111.9,999,0,448,"4","Yes","Nvidia"
64,1000,0,256,"4","Yes","Nvidia"
111.9,999,0,448,"4","Yes","Nvidia"
111.9,999,0,448,"4","Yes","Nvidia"
64,1000,0,256,"4","Yes","Nvidia"
70.4,1100,0,256,"4","Yes","Nvidia"
57.6,900,0,256,"4","Yes","Nvidia"
476.9,1242,0,512,"4","Yes","Nvidia"
70.4,1100,0,256,"4","Yes","Nvidia"
70.4,1100,0,256,"4","Yes","Nvidia"
44.8,700,0,256,"4","Yes","Nvidia"
24,500,0,192,"4","Yes","Nvidia"
32,1000,0,128,"4","Yes","Nvidia"
6.4,400,0,128,"4","Yes","Nvidia"
57.6,900,0,256,"4","Yes","Nvidia"
6.4,400,0,128,"4","Yes","Nvidia"
25.3,790,0,128,"4","Yes","Nvidia"
6.4,400,0,64,"4","Yes","Nvidia"
8,500,0,64,"4","Yes","Nvidia"
177.4,924,768,384,"5","Yes","Nvidia"
4,500,0,64,"4","Yes","Nvidia"
354.8,924,2304,256,"5","Yes","Nvidia"
54.4,850,0,128,"4","Yes","Nvidia"
267.8,837,1280,320,"5","Yes","Nvidia"
133.9,837,640,320,"5","Yes","Nvidia"
192,1000,768,384,"5","Yes","Nvidia"
177.4,924,768,384,"5","Yes","Nvidia"
